event_id,timestamp,machine_id,machine_type,operator_id,shift_type,event_type,speed_kmh,worker_distance_m,engine_temp_c,weather,seatbelt_status,risk_level,response_time_sec,resolved,fuel_rate_lph,acceleration_events
EVT00650,2025-05-14 15:36:00,BCK004,Backhoe,OP1021,day,normal,5.51,15.5,89.5,Sunny,Unfastened,LOW,2.7,True,7.09,2
SYNTH010092,2025-06-23 09:05:03,DZR001,Dozer,OP1014,day,erratic_accel,15.02,9.8,98.9,Cloudy,Fastened,MEDIUM,11.6,False,13.16,12
EVT00114,2025-12-10 11:42:00,GRD003,Grader,OP1019,day,normal,3.62,11.6,82.5,Cloudy,Unfastened,LOW,5.6,True,9.49,0
SYNTH010405,2025-06-26 15:26:32,DZR004,Dozer,OP1003,day,temp_spike,3.23,20.2,123.3,Cloudy,Fastened,HIGH,5.6,True,17.9,2
EVT00110,2025-12-10 09:34:00,GRD003,Grader,OP1019,day,normal,5.13,20.1,91.4,Cloudy,Unfastened,LOW,11.4,True,7.71,1
SYNTH010168,2025-06-24 04:00:05,DZR002,Dozer,OP1054,night,high_fuel,4.64,26.0,86.7,Sunny,Fastened,LOW,7.1,False,23.44,4
SYNTH010156,2025-06-24 01:10:20,EXC005,Excavator,OP1017,night,high_fuel,3.15,10.9,87.8,Windy,Fastened,MEDIUM,13.0,True,30.91,4
EVT00462,2025-11-20 13:50:00,EXC002,Excavator,OP1029,day,normal,5.93,0.5,85.9,Sunny,Fastened,HIGH,16.5,True,5.76,0
SYNTH010254,2025-06-25 01:36:18,GRD002,Grader,OP1016,night,high_fuel,7.97,20.9,91.2,Foggy,Fastened,MEDIUM,14.2,True,20.02,4
SYNTH010085,2025-06-23 07:18:45,GRD003,Grader,OP1030,day,erratic_accel,11.38,6.4,99.4,Windy,Unfastened,MEDIUM,6.8,False,19.01,7
EVT00526,2026-08-11 16:54:00,GRD002,Grader,OP1027,day,erratic_accel,5.18,14.1,87.1,Sunny,Unfastened,LOW,8.0,True,17.08,7
SYNTH010086,2025-06-23 07:41:45,LDR002,Loader,OP1059,day,erratic_accel,5.95,5.2,92.3,Sunny,Fastened,HIGH,12.5,True,16.41,8
EVT00630,2025-05-14 10:42:00,BCK004,Backhoe,OP1021,day,overspeed,14.22,19.7,86.6,Sunny,Unfastened,LOW,7.3,True,19.16,8
EVT00011,2025-03-10 09:00:00,DZR004,Dozer,OP1035,day,normal,6.43,10.1,82.0,Sunny,Unfastened,LOW,1.0,False,7.62,0
SYNTH010305,2025-06-25 14:18:41,DZR004,Dozer,OP1018,day,overspeed,12.73,17.6,99.2,Rainy,Unfastened,MEDIUM,1.5,False,15.86,4
EVT00297,2026-06-18 16:08:00,LDR002,Loader,OP1050,day,temp_spike,4.29,8.2,110.2,Rainy,Fastened,MEDIUM,13.0,True,13.11,3
SYNTH010099,2025-06-23 10:56:39,LDR002,Loader,OP1029,day,erratic_accel,9.68,15.6,90.3,Foggy,Fastened,HIGH,9.3,True,20.69,6
EVT00245,2025-04-11 17:10:00,EXC002,Excavator,OP1053,day,normal,4.29,16.7,87.1,Windy,Unfastened,LOW,1.0,True,6.6,1
EVT00363,2025-09-23 10:32:00,EXC005,Excavator,OP1044,day,normal,4.57,22.3,85.2,Windy,Unfastened,LOW,3.5,False,7.3,1
EVT00221,2025-04-11 11:00:00,EXC002,Excavator,OP1053,day,normal,7.24,26.8,93.4,Windy,Unfastened,LOW,12.9,False,5.35,2
EVT00175,2026-05-06 02:02:00,EXC005,Excavator,OP1025,night,proximity_breach,6.16,0.5,86.9,Cloudy,Fastened,HIGH,1.3,True,11.76,2
EVT00568,2025-01-27 19:28:00,EXC007,Excavator,OP1003,night,normal,5.53,23.2,90.4,Sunny,Unfastened,LOW,7.9,True,7.63,0
SYNTH010073,2025-06-23 04:23:24,BCK001,Backhoe,OP1030,night,erratic_accel,13.98,9.6,91.4,Foggy,Fastened,MEDIUM,1.8,False,15.03,10
SYNTH010263,2025-06-25 03:51:21,BCK001,Backhoe,OP1053,night,high_fuel,4.58,11.0,100.3,Sunny,Fastened,MEDIUM,9.8,False,30.14,3
EVT00573,2025-01-27 20:44:00,EXC007,Excavator,OP1003,night,normal,5.05,1.5,83.4,Sunny,Fastened,HIGH,9.6,True,5.34,0
EVT00210,2025-04-11 08:34:00,EXC002,Excavator,OP1053,day,normal,7.43,0.9,87.1,Windy,Unfastened,HIGH,10.5,True,6.3,1
SYNTH010058,2025-06-23 00:30:27,EXC002,Excavator,OP1060,night,erratic_accel,13.37,19.0,90.9,Cloudy,Unfastened,HIGH,4.2,False,17.06,8
SYNTH010234,2025-06-24 20:32:38,DZR003,Dozer,OP1008,night,high_fuel,3.25,18.4,92.6,Foggy,Unfastened,MEDIUM,2.3,True,20.65,2
EVT00381,2025-09-23 16:36:00,EXC005,Excavator,OP1044,day,normal,3.54,17.7,86.7,Windy,Unfastened,LOW,10.8,True,7.66,0
EVT00050,2025-12-17 06:02:00,EXC006,Excavator,OP1045,day,normal,3.63,23.4,25.8,Windy,Unfastened,LOW,12.2,True,8.65,1
EVT00108,2025-12-10 09:22:00,GRD003,Grader,OP1019,day,proximity_breach,9.11,1.0,89.1,Cloudy,Fastened,HIGH,6.2,False,10.73,1
EVT00060,2025-12-17 08:36:00,EXC006,Excavator,OP1045,day,temp_spike,8.48,20.3,110.6,Windy,Fastened,MEDIUM,7.2,True,13.8,0
EVT00550,2026-09-07 12:54:00,LDR001,Loader,OP1034,day,normal,3.0,7.1,81.9,Windy,Unfastened,MEDIUM,1.0,True,5.13,0
SYNTH010132,2025-06-23 19:04:32,EXC005,Excavator,OP1024,day,high_fuel,7.19,22.8,104.0,Cloudy,Unfastened,MEDIUM,6.7,True,28.93,5
SYNTH010126,2025-06-23 17:36:59,DZR003,Dozer,OP1008,day,erratic_accel,4.05,9.2,96.3,Foggy,Unfastened,MEDIUM,2.8,True,20.8,9
EVT00494,2026-08-11 06:38:00,GRD002,Grader,OP1027,day,normal,7.68,5.2,91.8,Sunny,Unfastened,MEDIUM,9.6,False,5.83,1
EVT00635,2025-05-14 11:40:00,BCK004,Backhoe,OP1021,day,temp_spike,6.12,12.0,108.2,Sunny,Fastened,MEDIUM,9.0,True,15.8,3
EVT00596,2025-01-28 01:36:00,EXC007,Excavator,OP1003,night,normal,5.6,31.3,91.9,Sunny,Unfastened,LOW,5.0,False,9.21,0
SYNTH010374,2025-06-26 07:41:11,BCK001,Backhoe,OP1054,day,temp_spike,5.2,13.8,129.9,Cloudy,Unfastened,MEDIUM,10.2,False,10.6,0
EVT00571,2025-01-27 20:26:00,EXC007,Excavator,OP1003,night,normal,4.03,21.2,85.5,Sunny,Unfastened,LOW,5.2,True,7.65,1
EVT00024,2025-03-10 11:46:00,DZR004,Dozer,OP1035,day,erratic_accel,6.27,18.3,89.9,Sunny,Unfastened,LOW,5.3,True,13.31,6
SYNTH010246,2025-06-24 23:30:59,BCK001,Backhoe,OP1004,night,high_fuel,4.35,11.5,104.9,Rainy,Unfastened,MEDIUM,14.7,False,29.89,2
SYNTH010226,2025-06-24 18:30:54,EXC005,Excavator,OP1037,day,high_fuel,3.59,27.7,89.3,Sunny,Fastened,MEDIUM,10.8,True,32.95,5
SYNTH010128,2025-06-23 18:08:33,EXC005,Excavator,OP1013,day,erratic_accel,6.19,9.7,82.9,Windy,Unfastened,HIGH,2.5,False,18.8,6
EVT00244,2025-04-11 16:52:00,EXC002,Excavator,OP1053,day,normal,5.07,27.9,86.1,Windy,Unfastened,LOW,16.1,True,9.53,0
EVT00584,2025-01-27 22:22:00,EXC007,Excavator,OP1003,night,proximity_breach,7.28,1.7,91.3,Sunny,Fastened,HIGH,11.7,True,6.33,4
EVT00543,2026-09-07 10:40:00,LDR001,Loader,OP1034,day,overspeed,16.13,21.0,85.8,Windy,Unfastened,LOW,5.9,False,18.83,8
SYNTH010078,2025-06-23 05:41:46,DZR001,Dozer,OP1018,night,erratic_accel,5.74,17.3,84.2,Sunny,Fastened,MEDIUM,14.6,True,16.15,14
SYNTH010154,2025-06-24 00:36:32,BCK003,Backhoe,OP1010,night,high_fuel,3.1,14.8,95.4,Sunny,Unfastened,MEDIUM,4.7,True,24.45,2
EVT00084,2025-12-17 17:12:00,EXC006,Excavator,OP1045,day,normal,8.74,17.7,84.7,Windy,Unfastened,LOW,4.4,True,8.56,0
EVT00437,2025-07-22 05:20:00,GRD003,Grader,OP1056,night,normal,4.21,20.9,89.6,Rainy,Unfastened,LOW,8.1,False,9.69,2
EVT00425,2025-07-22 01:52:00,GRD003,Grader,OP1056,night,erratic_accel,3.7,18.5,85.9,Rainy,Unfastened,LOW,3.9,True,13.47,7
SYNTH010457,2025-06-27 04:15:38,BCK001,Backhoe,OP1029,night,proximity_breach,4.98,2.7,88.1,Foggy,Unfastened,HIGH,9.1,True,8.49,4
EVT00291,2026-06-18 14:34:00,LDR002,Loader,OP1050,day,normal,3.47,18.0,85.6,Rainy,Unfastened,LOW,1.0,True,8.48,2
EVT00430,2025-07-22 02:42:00,GRD003,Grader,OP1056,night,normal,2.76,20.5,83.9,Rainy,Unfastened,LOW,4.3,False,8.41,0
EVT00536,2026-09-07 08:34:00,LDR001,Loader,OP1034,day,normal,5.29,44.9,87.0,Windy,Unfastened,LOW,3.5,True,7.76,2
SYNTH010232,2025-06-24 20:06:36,BCK004,Backhoe,OP1032,night,high_fuel,7.7,10.8,91.4,Foggy,Fastened,MEDIUM,4.6,True,25.32,2
EVT00077,2025-12-17 13:56:00,EXC006,Excavator,OP1045,day,normal,4.3,33.8,86.8,Windy,Unfastened,LOW,8.3,True,7.09,0
SYNTH010256,2025-06-25 02:05:31,DZR001,Dozer,OP1044,night,high_fuel,6.25,11.9,93.0,Cloudy,Fastened,MEDIUM,11.0,True,23.82,3
EVT00139,2025-12-10 16:30:00,GRD003,Grader,OP1019,day,normal,9.63,11.7,83.9,Cloudy,Unfastened,LOW,3.1,True,7.51,2
EVT00399,2025-07-21 22:08:00,GRD003,Grader,OP1056,night,temp_spike,3.21,20.5,108.7,Rainy,Fastened,MEDIUM,5.3,True,13.99,1
SYNTH010252,2025-06-25 01:03:06,EXC001,Excavator,OP1020,night,high_fuel,5.41,24.0,98.5,Windy,Unfastened,MEDIUM,5.1,True,34.48,2
EVT00448,2025-11-20 09:52:00,EXC002,Excavator,OP1029,day,normal,8.4,29.0,86.9,Sunny,Unfastened,LOW,3.2,True,8.57,2
SYNTH010240,2025-06-24 22:00:25,EXC004,Excavator,OP1018,night,high_fuel,3.25,10.7,96.5,Rainy,Fastened,MEDIUM,11.2,False,31.72,4
EVT00142,2025-12-10 17:24:00,GRD003,Grader,OP1019,day,normal,3.79,8.7,84.7,Cloudy,Unfastened,LOW,1.0,True,7.86,0
EVT00454,2025-11-20 11:32:00,EXC002,Excavator,OP1029,day,normal,6.97,5.8,89.5,Sunny,Unfastened,MEDIUM,11.7,False,9.53,2
EVT00287,2026-06-18 13:26:00,LDR002,Loader,OP1050,day,normal,2.6,9.3,87.8,Rainy,Unfastened,LOW,9.3,True,8.48,0
EVT00292,2026-06-18 14:42:00,LDR002,Loader,OP1050,day,normal,5.49,21.2,81.8,Rainy,Unfastened,LOW,11.6,True,9.51,0
EVT00140,2025-12-10 16:34:00,GRD003,Grader,OP1019,day,normal,6.52,2.1,89.3,Cloudy,Fastened,HIGH,7.7,True,7.46,0
SYNTH010148,2025-06-23 23:08:37,LDR001,Loader,OP1056,night,high_fuel,5.9,19.3,100.2,Cloudy,Unfastened,MEDIUM,14.3,False,26.29,5
EVT00561,2026-09-07 17:20:00,LDR001,Loader,OP1034,day,normal,9.15,20.9,85.0,Windy,Unfastened,LOW,3.5,False,9.34,2
SYNTH010334,2025-06-25 21:32:50,GRD001,Grader,OP1024,night,overspeed,16.75,18.3,100.0,Windy,Unfastened,MEDIUM,8.1,False,14.5,4
SYNTH010296,2025-06-25 12:01:45,EXC004,Excavator,OP1024,day,overspeed,12.98,19.5,91.6,Sunny,Unfastened,MEDIUM,4.4,True,14.51,5
EVT00328,2025-10-03 21:44:00,LDR002,Loader,OP1009,night,normal,5.16,3.4,91.3,Cloudy,Unfastened,MEDIUM,4.4,False,8.36,1
SYNTH010106,2025-06-23 12:40:08,DZR002,Dozer,OP1054,day,erratic_accel,14.22,11.9,81.7,Sunny,Unfastened,HIGH,12.0,True,20.19,8
SYNTH010398,2025-06-26 13:37:15,DZR004,Dozer,OP1039,day,temp_spike,6.55,10.6,118.8,Windy,Fastened,MEDIUM,4.3,True,15.89,3
SYNTH010443,2025-06-27 00:48:21,GRD003,Grader,OP1050,night,proximity_breach,5.99,2.1,90.4,Sunny,Fastened,MEDIUM,7.2,True,11.94,4
EVT00552,2026-09-07 13:24:00,LDR001,Loader,OP1034,day,normal,3.69,20.2,80.6,Windy,Unfastened,LOW,6.9,True,7.11,1
EVT00199,2025-04-11 06:32:00,EXC002,Excavator,OP1053,day,normal,3.16,12.0,87.6,Windy,Unfastened,LOW,6.4,False,6.78,0
EVT00440,2025-11-20 07:52:00,EXC002,Excavator,OP1029,day,normal,7.26,18.2,83.5,Sunny,Unfastened,LOW,6.3,False,5.7,0
SYNTH010207,2025-06-24 13:56:54,EXC003,Excavator,OP1017,day,high_fuel,7.31,15.6,95.8,Foggy,Fastened,LOW,14.2,True,27.84,2
SYNTH010231,2025-06-24 19:52:25,BCK004,Backhoe,OP1004,day,high_fuel,5.81,22.9,86.4,Windy,Unfastened,MEDIUM,11.8,True,30.4,4
SYNTH010117,2025-06-23 15:23:42,BCK002,Backhoe,OP1053,day,erratic_accel,15.77,11.9,98.2,Windy,Unfastened,MEDIUM,3.8,True,20.69,6
SYNTH010419,2025-06-26 18:48:25,LDR002,Loader,OP1055,day,proximity_breach,6.95,0.9,90.6,Foggy,Unfastened,MEDIUM,3.8,False,8.47,2
SYNTH010064,2025-06-23 02:11:01,DZR004,Dozer,OP1018,night,erratic_accel,11.63,8.8,101.5,Windy,Unfastened,HIGH,14.8,False,13.39,7
EVT00487,2025-11-20 16:12:00,EXC002,Excavator,OP1029,day,normal,4.61,27.5,86.4,Sunny,Unfastened,LOW,16.3,False,9.61,2
EVT00079,2025-12-17 14:56:00,EXC006,Excavator,OP1045,day,normal,6.45,2.0,96.4,Windy,Fastened,HIGH,5.7,True,6.69,2
SYNTH010251,2025-06-25 00:46:34,GRD002,Grader,OP1022,night,high_fuel,3.61,22.6,87.3,Rainy,Unfastened,LOW,14.0,True,26.98,2
