task_id,timestamp,hour_of_day,day_of_week,month,shift_type,operator_id,machine_id,machine_type,task_type,weather,soil_condition,operator_skill_level,operator_experience_years,engine_hours,fuel_level_pct,payload_tonnes,temperature_c,distance_m,idle_time_pct,previous_task_time_min,estimated_time_min,actual_time_min,time_delta_min
T00023,2025-01-22 07:27:17,7,2,1,day,OP1024,BCK002,Backhoe,Demolition,Cloudy,Rocky,Beginner,1.5,2800.3,76.9,20.23,20.3,169.4,5,28.0,113.7,142.1,28.4
T00024,2026-05-08 06:41:31,6,4,5,day,OP1003,LDR002,Loader,Transfer,Sunny,Wet,Expert,20.4,3765.5,64.7,4.58,39.6,177.1,5,46.0,28.7,23.0,-5.7
T00025,2026-08-13 15:24:20,15,3,8,day,OP1018,EXC002,Excavator,Site Clearing,Cloudy,Loose,Expert,15.8,4458.6,61.0,16.56,38.5,211.7,5,58.9,79.3,71.3,-8.0
T00026,2026-07-02 08:19:04,8,3,7,day,OP1041,GRD003,Grader,Earth Excavation,Sunny,Rocky,Intermediate,4.3,4081.3,77.8,9.44,31.1,133.8,11.6,29.9,76.5,66.5,-10.0
T00027,2025-01-08 15:50:39,15,2,1,day,OP1009,GRD001,Grader,Demolition,Windy,Dry,Intermediate,5.2,2297.9,67.1,18.92,17.5,157.4,24.8,42.6,95.5,108.1,12.6
T00028,2025-03-22 13:50:08,13,5,3,day,OP1033,GRD002,Grader,Trenching,Cloudy,Wet,Expert,17.2,3644.8,68.5,12.87,28.1,10,25.0,56.2,58.9,62.5,3.6
T00029,2026-08-14 22:34:29,22,4,8,night,OP1058,EXC003,Excavator,Site Clearing,Rainy,Dry,Intermediate,3.3,5393.1,85.0,4.9,34.9,84.5,31.4,99.0,87.1,111.6,24.5
T00030,2025-09-19 14:54:31,14,4,9,day,OP1027,LDR003,Loader,Transfer,Cloudy,Dry,Intermediate,6.2,2780.5,82.0,10.66,28.7,330.8,25.1,35.5,25.0,35.3,10.3
T00031,2025-06-10 11:58:04,11,1,6,day,OP1036,GRD001,Grader,Site Clearing,Rainy,Loose,Intermediate,3.3,3413.6,87.7,11.02,30.4,10,11.0,57.0,86.5,102.2,15.7
T00032,2025-09-30 21:39:49,21,1,9,night,OP1036,LDR004,Loader,Trenching,Rainy,Clay,Intermediate,3.3,3923.7,85.7,3.87,30.6,97.1,6.8,45.5,64.4,67.9,3.5
T00033,2025-11-27 21:15:45,21,3,11,night,OP1022,LDR004,Loader,Earth Excavation,Sunny,Wet,Beginner,0.6,4346.9,63.9,15.0,19.3,227.6,41.2,41.8,71.0,114.4,43.4
T00034,2026-01-28 23:47:02,23,2,1,night,OP1006,EXC002,Excavator,Material Loading,Sunny,Clay,Intermediate,3.3,3023.0,71.9,6.57,19.6,172.6,12.3,30.3,35.9,42.6,6.7
T00035,2026-08-10 09:15:25,9,0,8,day,OP1015,LDR005,Loader,Earth Excavation,Sunny,Rocky,Beginner,0.6,4440.5,61.4,11.33,37.4,83.2,32.2,84.6,77.5,88.9,11.4
T00036,2026-03-04 14:39:07,14,2,3,day,OP1003,DZR001,Dozer,Earth Excavation,Cloudy,Dry,Expert,20.4,3918.9,55.0,4.66,30.4,92.5,5,60.9,63.1,56.7,-6.4
T00037,2026-03-13 14:29:01,14,4,3,day,OP1016,DZR001,Dozer,Foundation Digging,Cloudy,Loose,Beginner,2.9,3984.6,52.0,12.39,31.5,273.3,47.5,45.8,85.9,97.4,11.5
T00038,2025-07-01 07:40:40,7,1,7,day,OP1013,EXC006,Excavator,Material Loading,Rainy,Dry,Expert,18.9,3889.1,93.2,3.46,34.0,149.6,13.4,54.9,41.8,41.1,-0.7
T00039,2026-06-17 14:00:51,14,2,6,day,OP1038,EXC002,Excavator,Site Clearing,Rainy,Rocky,Beginner,2.4,4042.0,71.0,8.49,32.9,190.3,25.3,21.9,104.2,141.1,36.9
T00040,2025-02-24 14:08:44,14,0,2,day,OP1042,EXC007,Excavator,Site Clearing,Cloudy,Clay,Beginner,1.3,3761.3,74.4,18.67,21.8,242.3,19.1,47.8,80.9,102.7,21.8
T00041,2025-07-14 15:11:59,15,0,7,day,OP1025,DZR001,Dozer,Site Clearing,Rainy,Dry,Expert,17.0,2218.2,49.0,12.84,32.4,158.4,50.9,23.2,79.8,91.2,11.4
T00042,2026-04-18 13:09:40,13,5,4,day,OP1006,LDR002,Loader,Foundation Digging,Cloudy,Rocky,Intermediate,3.3,3621.5,49.4,14.51,35.3,36.9,14.6,61.5,100.1,125.0,24.9
T00043,2026-02-17 22:59:28,22,1,2,night,OP1015,EXC005,Excavator,Material Loading,Sunny,Dry,Beginner,0.6,5801.2,69.1,10.61,16.0,53.5,18.7,11.1,36.2,68.2,32.0
T00044,2025-07-22 18:40:33,18,1,7,night,OP1024,BCK002,Backhoe,Grading,Foggy,Clay,Beginner,1.5,4125.1,94.3,5.72,29.6,174.2,13.2,44.3,49.1,48.1,-1.0
T00045,2026-06-16 08:59:50,8,1,6,day,OP1025,DZR004,Dozer,Foundation Digging,Foggy,Wet,Expert,17.0,4756.3,62.2,11.0,34.7,252.4,59.7,37.1,105.2,121.3,16.1
T00046,2025-07-16 15:04:36,15,2,7,day,OP1010,DZR001,Dozer,Trenching,Foggy,Wet,Intermediate,8.6,2232.8,41.5,15.22,34.4,112.1,30.6,82.0,64.0,76.1,12.1
T00047,2026-02-10 19:35:29,19,1,2,night,OP1019,DZR003,Dozer,Material Loading,Windy,Loose,Intermediate,4.5,5040.4,70.5,14.04,20.6,172.5,25.8,62.0,40.2,49.5,9.3
T00048,2026-05-21 12:19:20,12,3,5,day,OP1005,EXC004,Excavator,Transfer,Cloudy,Dry,Expert,18.5,4577.8,55.5,10.27,34.5,84.0,46.7,75.1,26.8,28.6,1.8
T00049,2026-09-03 23:11:57,23,3,9,night,OP1002,LDR005,Loader,Transfer,Sunny,Loose,Expert,18.3,4619.9,68.6,18.89,33.0,158.5,26.6,64.1,27.3,30.0,2.7
T00050,2026-02-13 19:57:25,19,4,2,night,OP1050,BCK002,Backhoe,Transfer,Foggy,Loose,Intermediate,7.7,5629.2,49.8,18.18,16.1,195.1,18.2,60.6,31.5,42.1,10.6
T00051,2026-04-25 23:32:40,23,5,4,night,OP1017,EXC002,Excavator,Grading,Sunny,Dry,Expert,13.3,3658.0,59.9,14.06,35.4,195.6,32.1,62.3,39.8,39.4,-0.4
T00052,2026-09-17 07:03:19,7,3,9,day,OP1028,EXC003,Excavator,Foundation Digging,Rainy,Wet,Beginner,1.6,5636.6,66.3,16.8,26.6,198.2,43.8,90.3,117.6,173.4,55.8
T00053,2026-03-03 10:29:26,10,1,3,day,OP1041,EXC002,Excavator,Trenching,Rainy,Loose,Intermediate,4.3,3267.2,90.4,6.23,22.3,10,17.1,36.8,63.1,60.4,-2.7
T00054,2026-04-08 18:33:56,18,2,4,night,OP1010,BCK002,Backhoe,Transfer,Windy,Rocky,Intermediate,8.6,6023.0,72.1,13.79,31.5,199.6,33.8,56.9,36.4,42.1,5.7
T00055,2025-05-26 08:47:16,8,0,5,day,OP1029,EXC007,Excavator,Demolition,Rainy,Loose,Intermediate,8.7,4423.9,77.7,13.48,38.7,165.7,31.2,27.9,116.3,131.3,15.0
T00056,2025-12-31 01:11:24,1,2,12,night,OP1060,BCK003,Backhoe,Material Loading,Windy,Clay,Expert,10.8,3978.1,98,11.86,19.9,91.8,18.1,68.4,40.5,47.5,7.0
T00057,2025-03-25 15:59:45,15,1,3,day,OP1047,DZR003,Dozer,Foundation Digging,Rainy,Clay,Beginner,2.8,2688.7,88.0,7.92,36.6,81.1,30.2,22.0,99.9,133.5,33.6
T00058,2025-06-03 09:12:54,9,1,6,day,OP1011,LDR003,Loader,Grading,Cloudy,Clay,Intermediate,6.7,1990.4,52.2,10.98,40.1,251.5,35.8,86.1,43.1,42.5,-0.6
T00059,2025-07-08 12:20:19,12,1,7,day,OP1058,GRD003,Grader,Site Clearing,Windy,Clay,Intermediate,3.3,1461.8,77.7,20.57,38.7,234.2,39.1,28.7,77.7,84.7,7.0
T00060,2025-12-17 09:11:43,9,2,12,day,OP1016,BCK002,Backhoe,Foundation Digging,Sunny,Dry,Beginner,2.9,5202.6,61.8,6.66,17.1,187.4,36.6,73.6,83.1,113.1,30.0
T00061,2026-03-24 07:17:07,7,1,3,day,OP1016,DZR002,Dozer,Trenching,Sunny,Wet,Beginner,2.9,5731.6,73.7,19.47,27.8,94.6,23.1,47.1,61.8,71.6,9.8
T00062,2025-07-15 11:16:06,11,1,7,day,OP1032,LDR002,Loader,Transfer,Sunny,Loose,Intermediate,3.9,1598.8,68.7,11.91,20.6,213.3,54.1,28.4,25.2,34.0,8.8
T00063,2025-11-18 01:41:51,1,1,11,night,OP1024,EXC002,Excavator,Foundation Digging,Sunny,Clay,Beginner,1.5,2498.0,87.9,15.77,24.7,184.6,18.4,38.3,82.5,140.1,57.6
T00064,2026-03-18 20:11:26,20,2,3,night,OP1033,LDR005,Loader,Earth Excavation,Sunny,Wet,Expert,17.2,3385.3,43.6,8.46,25.4,139.8,35.6,63.9,68.5,71.7,3.2
T00065,2026-02-11 11:13:10,11,2,2,day,OP1032,BCK003,Backhoe,Demolition,Cloudy,Dry,Intermediate,3.9,4287.8,86.5,16.91,16.9,132.5,49.6,39.5,97.1,101.1,4.0
T00066,2025-10-04 23:56:21,23,5,10,night,OP1011,DZR004,Dozer,Foundation Digging,Sunny,Wet,Intermediate,6.7,2899.4,77.2,11.68,37.5,154.3,37.7,44.3,86.9,98.9,12.0
T00067,2025-03-20 23:18:25,23,3,3,night,OP1036,LDR003,Loader,Transfer,Cloudy,Rocky,Intermediate,3.3,1447.2,65.5,5.46,31.3,125.5,8.0,66.4,30.7,43.6,12.9
T00068,2025-10-02 03:49:37,3,3,10,night,OP1050,LDR002,Loader,Grading,Rainy,Loose,Intermediate,7.7,2173.2,82.7,18.33,26.5,90.9,23.3,81.1,49.1,68.4,19.3
T00069,2025-06-28 09:03:15,9,5,6,day,OP1046,EXC003,Excavator,Site Clearing,Windy,Rocky,Beginner,2.1,2381.4,59.6,12.68,34.0,92.4,33.2,44.4,88.0,140.2,52.2
T00070,2025-10-02 06:45:42,6,3,10,day,OP1027,LDR003,Loader,Transfer,Sunny,Wet,Intermediate,6.2,2872.9,70.6,15.15,33.1,112.0,41.4,14.2,27.8,39.3,11.5
T00071,2025-03-17 19:07:20,19,0,3,night,OP1037,EXC008,Excavator,Earth Excavation,Windy,Wet,Expert,24.1,936.7,84.1,12.12,20.4,136.8,48.2,13.9,68.8,75.4,6.6
T00072,2025-01-16 12:07:37,12,3,1,day,OP1060,LDR003,Loader,Demolition,Cloudy,Clay,Expert,10.8,983.9,65.2,14.55,9.7,211.3,22.9,89.6,99.7,101.5,1.8
T00073,2026-02-12 23:47:09,23,3,2,night,OP1049,EXC007,Excavator,Material Loading,Cloudy,Loose,Beginner,0.8,6341.1,54.0,16.72,23.2,202.8,45.9,74.1,39.9,69.9,30.0
T00074,2025-11-20 21:11:38,21,3,11,night,OP1047,GRD002,Grader,Earth Excavation,Sunny,Rocky,Beginner,2.8,5420.9,65.0,13.84,22.5,188.4,26.1,95.9,80.3,106.3,26.0
T00075,2025-09-26 07:33:08,7,4,9,day,OP1010,DZR002,Dozer,Site Clearing,Rainy,Clay,Intermediate,8.6,4425.0,56.9,13.7,35.7,12.2,36.8,29.9,92.8,121.8,29.0
T00076,2025-05-19 11:35:22,11,0,5,day,OP1033,EXC007,Excavator,Material Loading,Sunny,Clay,Expert,17.2,4373.7,78.1,9.92,32.4,60.0,38.8,50.3,37.8,40.4,2.6
T00077,2026-07-11 09:15:16,9,5,7,day,OP1002,LDR005,Loader,Demolition,Rainy,Wet,Expert,18.3,4221.5,67.8,10.09,29.9,167.6,49.3,47.0,133.5,149.3,15.8
T00078,2025-06-17 03:47:19,3,1,6,night,OP1042,DZR001,Dozer,Site Clearing,Foggy,Loose,Beginner,1.3,2017.6,80.6,9.68,25.5,166.3,39.2,26.5,81.1,133.9,52.8
T00079,2025-06-06 20:25:16,20,4,6,night,OP1001,EXC001,Excavator,Demolition,Rainy,Clay,Expert,13.7,3572.6,76.7,11.64,30.5,227.7,37.1,54.4,127.0,133.8,6.8
T00080,2025-01-24 06:54:21,6,4,1,day,OP1039,EXC002,Excavator,Transfer,Cloudy,Dry,Expert,10.2,324.2,74.5,5.8,18.0,180.0,15.4,11.2,24.7,17.8,-6.9
T00081,2026-01-21 13:46:56,13,2,1,day,OP1053,LDR003,Loader,Grading,Cloudy,Wet,Intermediate,7.0,3685.4,68.4,7.91,22.8,176.1,26.7,26.4,46.7,52.9,6.2
T00082,2026-04-06 21:21:27,21,0,4,night,OP1027,DZR001,Dozer,Material Loading,Sunny,Wet,Intermediate,6.2,4161.9,53.0,13.22,33.1,93.5,24.8,37.0,38.9,43.9,5.0
T00083,2025-10-22 09:28:12,9,2,10,day,OP1006,DZR002,Dozer,Site Clearing,Sunny,Wet,Intermediate,3.3,4615.4,74.6,9.99,31.7,131.9,29.3,47.6,84.1,112.6,28.5
T00084,2025-01-23 08:06:09,8,3,1,day,OP1048,EXC004,Excavator,Transfer,Windy,Clay,Beginner,2.2,1050.6,55.6,11.27,16.8,210.9,24.8,81.2,28.9,27.4,-1.5
T00085,2026-07-20 21:22:20,21,0,7,night,OP1014,LDR004,Loader,Site Clearing,Rainy,Clay,Expert,21.2,6062.5,51.4,16.68,35.3,154.7,14.0,78.4,104.3,110.0,5.7
T00086,2026-08-25 15:26:55,15,1,8,day,OP1022,LDR001,Loader,Transfer,Foggy,Loose,Beginner,0.6,6014.8,75.9,9.52,24.7,178.0,25.5,55.8,33.6,55.9,22.3
T00087,2025-03-04 22:16:14,22,1,3,night,OP1054,BCK001,Backhoe,Grading,Sunny,Wet,Intermediate,5.0,3502.5,71.0,6.64,31.7,219.4,24.6,9.6,45.1,50.9,5.8
T00088,2025-01-25 08:55:43,8,5,1,day,OP1019,EXC001,Excavator,Foundation Digging,Windy,Wet,Intermediate,4.5,2605.5,74.2,12.74,19.4,184.4,8.6,84.4,90.9,92.1,1.2
T00089,2025-10-23 20:27:07,20,3,10,night,OP1044,EXC003,Excavator,Earth Excavation,Sunny,Loose,Beginner,1.1,3239.0,81.9,6.42,24.7,56.5,47.2,79.5,62.7,103.9,41.2
T00090,2025-02-25 15:02:14,15,1,2,day,OP1045,GRD002,Grader,Transfer,Sunny,Dry,Intermediate,6.5,3462.6,58.9,4.65,19.7,115.7,36.9,79.1,24.9,16.4,-8.5
T00091,2026-04-25 21:10:04,21,5,4,night,OP1037,EXC008,Excavator,Foundation Digging,Rainy,Clay,Expert,24.1,3886.5,91.9,19.57,29.7,317.6,40.6,54.0,108.0,117.6,9.6
T00092,2026-04-24 21:25:55,21,4,4,night,OP1041,LDR001,Loader,Transfer,Cloudy,Rocky,Intermediate,4.3,5118.7,65.2,13.35,29.3,236.6,5,102.1,33.9,38.6,4.7
T00093,2025-07-08 21:20:15,21,1,7,night,OP1007,EXC003,Excavator,Earth Excavation,Foggy,Loose,Beginner,1.2,2458.2,79.2,12.95,29.0,180.7,29.2,79.8,65.9,86.1,20.2
T00094,2026-01-28 18:22:13,18,2,1,night,OP1027,LDR005,Loader,Trenching,Windy,Clay,Intermediate,6.2,3027.1,46.7,8.53,27.2,125.0,25.4,92.5,58.6,74.1,15.5
T00095,2025-12-29 06:59:59,6,0,12,day,OP1017,EXC008,Excavator,Transfer,Cloudy,Wet,Expert,13.3,3028.1,72.1,15.51,15.9,148.2,27.0,58.2,28.8,23.8,-5.0
T00096,2025-06-17 12:07:52,12,1,6,day,OP1045,EXC007,Excavator,Transfer,Cloudy,Loose,Intermediate,6.5,4585.6,67.6,9.23,37.3,63.0,26.4,70.9,28.1,45.4,17.3
T00097,2025-09-01 11:34:11,11,0,9,day,OP1044,GRD001,Grader,Earth Excavation,Foggy,Loose,Beginner,1.1,4019.4,66.4,13.51,32.6,10,47.8,84.8,71.9,113.2,41.3
T00098,2025-07-09 01:56:36,1,2,7,night,OP1005,DZR002,Dozer,Transfer,Rainy,Clay,Expert,18.5,3846.6,68.6,8.98,22.0,57.3,41.8,37.0,34.0,36.1,2.1
T00099,2025-02-27 12:32:20,12,3,2,day,OP1042,LDR005,Loader,Site Clearing,Foggy,Loose,Beginner,1.3,579.8,74.2,12.31,22.4,267.4,15.3,31.5,80.4,82.9,2.5
T00100,2026-08-26 15:58:39,15,2,8,day,OP1031,EXC004,Excavator,Demolition,Rainy,Dry,Expert,22.8,5287.0,93.8,13.45,38.1,195.4,20.3,26.3,116.3,110.0,-6.3
T00101,2025-03-26 14:08:57,14,2,3,day,OP1008,EXC001,Excavator,Site Clearing,Cloudy,Wet,Beginner,1.2,3045.1,59.5,5.33,32.9,135.5,30.6,35.0,81.6,127.9,46.3
T00102,2026-06-05 13:26:22,13,4,6,day,OP1057,EXC007,Excavator,Transfer,Rainy,Loose,Beginner,2.8,7162.9,70.3,9.76,36.8,260.1,10.3,16.9,35.4,57.3,21.9
T00103,2026-08-13 12:28:52,12,3,8,day,OP1039,LDR005,Loader,Foundation Digging,Rainy,Rocky,Expert,10.2,4463.4,83.3,14.15,28.4,244.2,19.9,22.5,118.7,118.4,-0.3
T00104,2026-03-27 11:13:49,11,4,3,day,OP1027,GRD003,Grader,Material Loading,Cloudy,Loose,Intermediate,6.2,3374.1,89.6,8.75,29.2,43.8,37.1,24.0,35.8,32.5,-3.3
T00105,2026-03-10 22:58:29,22,1,3,night,OP1013,LDR005,Loader,Transfer,Cloudy,Loose,Expert,18.9,3327.8,84.5,9.14,20.4,147.2,24.5,91.9,26.8,34.9,8.1
T00106,2026-08-20 07:21:13,7,3,8,day,OP1008,LDR001,Loader,Site Clearing,Rainy,Dry,Beginner,1.2,5975.8,53.8,11.93,31.3,222.4,33.3,20.6,89.5,125.4,35.9
T00107,2025-04-19 15:56:27,15,5,4,day,OP1050,EXC008,Excavator,Grading,Rainy,Clay,Intermediate,7.7,1176.6,42.4,7.34,30.0,94.4,14.7,24.0,50.9,52.1,1.2
T00108,2025-07-25 13:06:52,13,4,7,day,OP1019,GRD002,Grader,Demolition,Foggy,Clay,Intermediate,4.5,4557.1,67.9,20.54,37.0,253.4,24.8,61.8,118.9,127.7,8.8
T00109,2026-01-25 01:40:27,1,6,1,night,OP1044,LDR005,Loader,Transfer,Sunny,Rocky,Beginner,1.1,3000.1,59.5,18.12,15.3,206.0,36.3,75.9,30.4,48.3,17.9
T00110,2025-01-09 02:30:35,2,3,1,night,OP1006,BCK004,Backhoe,Transfer,Rainy,Rocky,Intermediate,3.3,696.1,48.4,1.54,22.2,263.0,21.7,55.5,36.2,36.9,0.7
T00111,2026-08-08 02:58:04,2,5,8,night,OP1049,EXC002,Excavator,Earth Excavation,Sunny,Loose,Beginner,0.8,4418.3,73.5,13.72,40.2,214.4,51.7,31.4,65.6,81.6,16.0
T00112,2025-04-26 08:41:28,8,5,4,day,OP1024,BCK002,Backhoe,Material Loading,Sunny,Rocky,Beginner,1.5,3486.9,45.1,9.22,32.0,159.1,21.9,52.7,41.2,51.7,10.5
T00113,2026-02-20 03:53:04,3,4,2,night,OP1028,BCK003,Backhoe,Material Loading,Cloudy,Wet,Beginner,1.6,4351.3,86.3,14.12,16.2,184.0,49.9,27.6,40.4,68.7,28.3
T00114,2025-07-21 13:17:37,13,0,7,day,OP1041,BCK004,Backhoe,Material Loading,Windy,Clay,Intermediate,4.3,2108.3,42.6,12.77,27.9,162.9,11.3,59.0,38.6,34.7,-3.9
T00115,2025-04-16 12:06:35,12,2,4,day,OP1047,GRD003,Grader,Demolition,Rainy,Dry,Beginner,2.8,855.9,52.0,9.27,36.4,230.9,21.3,86.8,101.9,121.7,19.8
T00116,2026-04-11 11:07:15,11,5,4,day,OP1039,EXC003,Excavator,Earth Excavation,Foggy,Rocky,Expert,10.2,4477.2,92.0,7.1,38.4,115.2,10.2,29.4,86.9,83.1,-3.8
T00117,2025-03-18 22:07:48,22,1,3,night,OP1019,BCK001,Backhoe,Foundation Digging,Cloudy,Loose,Intermediate,4.5,3604.7,79.2,8.29,31.3,104.7,18.2,51.4,84.7,105.6,20.9
T00118,2025-03-25 10:30:55,10,1,3,day,OP1055,EXC008,Excavator,Earth Excavation,Sunny,Loose,Expert,12.2,992.5,83.8,17.27,31.1,182.6,32.4,51.8,60.9,71.3,10.4
T00119,2026-09-22 14:16:09,14,1,9,day,OP1017,EXC006,Excavator,Site Clearing,Sunny,Rocky,Expert,13.3,7161.5,62.5,14.29,29.8,105.1,15.6,94.3,100.0,98.4,-1.6
T00120,2026-03-11 14:37:43,14,2,3,day,OP1011,LDR004,Loader,Material Loading,Sunny,Dry,Intermediate,6.7,5104.1,56.2,16.54,31.7,226.7,53.1,58.4,35.3,46.8,11.5
T00121,2025-02-17 15:09:39,15,0,2,day,OP1048,BCK001,Backhoe,Foundation Digging,Sunny,Wet,Beginner,2.2,3390.9,82.0,10.76,15.5,174.9,20.7,68.2,88.5,110.2,21.7
T00122,2025-03-29 02:41:37,2,5,3,night,OP1050,LDR002,Loader,Site Clearing,Sunny,Loose,Intermediate,7.7,807.8,70.5,7.47,29.7,120.1,18.2,14.7,71.4,71.1,-0.3
T00123,2025-10-25 15:20:27,15,5,10,day,OP1002,EXC008,Excavator,Site Clearing,Cloudy,Dry,Expert,18.3,2556.1,69.8,6.19,28.2,23.2,32.5,32.4,70.2,72.0,1.8
T00124,2025-12-05 15:13:56,15,4,12,day,OP1058,DZR004,Dozer,Foundation Digging,Rainy,Rocky,Intermediate,3.3,3349.3,76.4,6.33,11.6,101.7,33.8,48.9,109.6,132.5,22.9
T00125,2026-01-16 22:04:52,22,4,1,night,OP1054,BCK004,Backhoe,Site Clearing,Cloudy,Rocky,Intermediate,5.0,3417.7,98,16.06,19.0,242.1,32.0,27.6,90.0,103.5,13.5
T00126,2025-09-10 10:46:03,10,2,9,day,OP1055,EXC004,Excavator,Trenching,Sunny,Rocky,Expert,12.2,2730.5,49.4,19.28,32.9,180.7,33.4,42.6,60.1,63.2,3.1
T00127,2025-08-01 10:11:34,10,4,8,day,OP1029,GRD001,Grader,Grading,Sunny,Dry,Intermediate,8.7,3792.7,62.2,19.45,31.7,155.6,40.4,74.3,40.0,38.9,-1.1
T00128,2025-11-11 18:58:52,18,1,11,night,OP1005,EXC007,Excavator,Transfer,Rainy,Dry,Expert,18.5,5660.7,54.2,10.35,29.2,164.3,36.0,76.8,32.9,37.3,4.4
T00129,2025-07-30 15:06:21,15,2,7,day,OP1018,LDR001,Loader,Transfer,Windy,Dry,Expert,15.8,3160.4,56.3,7.82,26.8,74.6,25.9,38.8,26.8,34.8,8.0
T00130,2025-10-30 14:04:16,14,3,10,day,OP1051,EXC001,Excavator,Foundation Digging,Rainy,Rocky,Expert,11.2,4636.5,73.3,7.76,21.1,225.4,38.0,66.6,119.9,122.2,2.3
