event_id,timestamp,machine_id,machine_type,operator_id,shift_type,event_type,speed_kmh,worker_distance_m,engine_temp_c,weather,seatbelt_status,risk_level,response_time_sec,resolved
EVT00031,2025-03-10 14:04:00,DZR004,Dozer,OP1035,day,normal,5.76,15.1,84.6,Sunny,Unfastened,LOW,7.7,True
EVT00032,2025-03-10 14:10:00,DZR004,Dozer,OP1035,day,normal,4.92,30.4,88.2,Sunny,Unfastened,LOW,4.3,True
EVT00033,2025-03-10 14:12:00,DZR004,Dozer,OP1035,day,normal,4.23,13.2,87.2,Sunny,Unfastened,LOW,8.8,True
EVT00034,2025-03-10 14:24:00,DZR004,Dozer,OP1035,day,normal,6.53,19.5,79.9,Sunny,Unfastened,LOW,4.0,False
EVT00035,2025-03-10 14:40:00,DZR004,Dozer,OP1035,day,normal,6.99,17.5,83.5,Sunny,Unfastened,LOW,1,True
EVT00036,2025-03-10 14:50:00,DZR004,Dozer,OP1035,day,normal,7.13,21.3,84.0,Sunny,Unfastened,LOW,2.7,True
EVT00037,2025-03-10 15:04:00,DZR004,Dozer,OP1035,day,normal,5.13,20.6,90.6,Sunny,Unfastened,LOW,6.3,True
EVT00038,2025-03-10 15:14:00,DZR004,Dozer,OP1035,day,normal,6.86,1.9,88.3,Sunny,Fastened,HIGH,9.4,False
EVT00039,2025-03-10 15:20:00,DZR004,Dozer,OP1035,day,normal,6.29,19.8,91.0,Sunny,Unfastened,LOW,6.5,True
EVT00040,2025-03-10 15:48:00,DZR004,Dozer,OP1035,day,normal,6.95,30.3,87.6,Sunny,Unfastened,LOW,6.0,True
EVT00041,2025-03-10 16:06:00,DZR004,Dozer,OP1035,day,normal,3.45,22.8,84.5,Sunny,Unfastened,LOW,9.3,True
EVT00042,2025-03-10 16:24:00,DZR004,Dozer,OP1035,day,normal,4.78,24.8,89.9,Sunny,Unfastened,LOW,7.5,True
EVT00043,2025-03-10 16:50:00,DZR004,Dozer,OP1035,day,normal,8.5,7.4,86.0,Sunny,Unfastened,MEDIUM,7.0,False
EVT00044,2025-03-10 16:58:00,DZR004,Dozer,OP1035,day,normal,3.99,25.1,87.8,Sunny,Unfastened,LOW,11.1,True
EVT00045,2025-03-10 17:12:00,DZR004,Dozer,OP1035,day,normal,4.53,16.5,88.2,Sunny,Unfastened,LOW,5.8,True
EVT00046,2025-03-10 17:14:00,DZR004,Dozer,OP1035,day,normal,7.22,21.8,91.7,Sunny,Unfastened,LOW,1,False
EVT00047,2025-03-10 17:18:00,DZR004,Dozer,OP1035,day,normal,7.5,18.0,89.8,Sunny,Unfastened,LOW,1,False
EVT00048,2025-03-10 17:24:00,DZR004,Dozer,OP1035,day,normal,6.69,17.5,85.8,Sunny,Unfastened,LOW,6.3,True
EVT00049,2025-03-10 17:38:00,DZR004,Dozer,OP1035,day,normal,4.28,14.5,85.3,Sunny,Unfastened,LOW,8.5,True
EVT00050,2025-12-17 06:02:00,EXC006,Excavator,OP1045,day,normal,3.63,23.4,25.8,Windy,Unfastened,LOW,12.2,True
EVT00051,2025-12-17 06:06:00,EXC006,Excavator,OP1045,day,normal,4.47,8.9,36.4,Windy,Unfastened,LOW,6.5,False
EVT00052,2025-12-17 06:32:00,EXC006,Excavator,OP1045,day,normal,3.26,23.4,86.0,Windy,Unfastened,LOW,3.1,True
EVT00053,2025-12-17 06:34:00,EXC006,Excavator,OP1045,day,normal,5.23,0.5,91.4,Windy,Fastened,HIGH,7.9,True
EVT00054,2025-12-17 07:06:00,EXC006,Excavator,OP1045,day,normal,6.44,9.6,86.5,Windy,Unfastened,LOW,6.1,False
EVT00055,2025-12-17 07:20:00,EXC006,Excavator,OP1045,day,normal,5.3,7.4,83.6,Windy,Unfastened,MEDIUM,4.5,False
EVT00056,2025-12-17 08:20:00,EXC006,Excavator,OP1045,day,normal,4.31,16.7,85.8,Windy,Unfastened,LOW,7.7,True
EVT00057,2025-12-17 08:28:00,EXC006,Excavator,OP1045,day,temp_spike,5.71,27.8,106.0,Windy,Fastened,MEDIUM,7.7,True
EVT00058,2025-12-17 08:32:00,EXC006,Excavator,OP1045,day,temp_spike,4.44,19.8,108.0,Windy,Fastened,MEDIUM,13.6,True
EVT00059,2025-12-17 08:34:00,EXC006,Excavator,OP1045,day,temp_spike,0.98,16.6,108.7,Windy,Fastened,MEDIUM,5.4,True
EVT00060,2025-12-17 08:36:00,EXC006,Excavator,OP1045,day,temp_spike,8.48,20.3,110.6,Windy,Fastened,MEDIUM,7.2,True
EVT00061,2025-12-17 08:38:00,EXC006,Excavator,OP1045,day,temp_spike,2.22,35.5,106.5,Windy,Fastened,MEDIUM,8.5,False
EVT00062,2025-12-17 08:42:00,EXC006,Excavator,OP1045,day,temp_spike,7.7,12.1,105.5,Windy,Fastened,MEDIUM,5.2,True
EVT00063,2025-12-17 09:18:00,EXC006,Excavator,OP1045,day,normal,3.8,28.7,86.1,Windy,Unfastened,LOW,7.8,True
EVT00064,2025-12-17 09:28:00,EXC006,Excavator,OP1045,day,normal,5.11,25.3,88.2,Windy,Unfastened,LOW,4.3,True
EVT00065,2025-12-17 09:40:00,EXC006,Excavator,OP1045,day,normal,8.56,17.5,88.2,Windy,Unfastened,LOW,5.8,False
EVT00066,2025-12-17 09:50:00,EXC006,Excavator,OP1045,day,normal,6.41,26.1,83.2,Windy,Unfastened,LOW,11.0,True
EVT00067,2025-12-17 10:26:00,EXC006,Excavator,OP1045,day,normal,3.96,18.5,88.2,Windy,Unfastened,LOW,1.5,False
EVT00068,2025-12-17 10:32:00,EXC006,Excavator,OP1045,day,normal,6.58,25.0,83.5,Windy,Unfastened,LOW,5.8,True
EVT00069,2025-12-17 10:40:00,EXC006,Excavator,OP1045,day,normal,5.47,8.7,83.4,Windy,Unfastened,LOW,11.4,True
EVT00070,2025-12-17 10:58:00,EXC006,Excavator,OP1045,day,normal,6.95,23.0,81.7,Windy,Unfastened,LOW,11.2,True
EVT00071,2025-12-17 11:30:00,EXC006,Excavator,OP1045,day,normal,4.86,22.5,89.0,Windy,Unfastened,LOW,8.2,False
EVT00072,2025-12-17 12:06:00,EXC006,Excavator,OP1045,day,normal,7.89,32.2,89.1,Windy,Unfastened,LOW,5.6,True
EVT00073,2025-12-17 12:14:00,EXC006,Excavator,OP1045,day,normal,6.22,6.6,86.6,Windy,Unfastened,MEDIUM,10.2,True
EVT00074,2025-12-17 12:38:00,EXC006,Excavator,OP1045,day,normal,7.41,15.5,85.2,Windy,Unfastened,LOW,9.6,True
EVT00075,2025-12-17 12:52:00,EXC006,Excavator,OP1045,day,normal,5.51,2.3,87.6,Windy,Fastened,HIGH,12.3,True
EVT00076,2025-12-17 13:42:00,EXC006,Excavator,OP1045,day,normal,6.14,1.6,87.3,Windy,Fastened,HIGH,6.7,True
EVT00077,2025-12-17 13:56:00,EXC006,Excavator,OP1045,day,normal,4.3,33.8,86.8,Windy,Unfastened,LOW,8.3,True
EVT00078,2025-12-17 14:18:00,EXC006,Excavator,OP1045,day,normal,3.34,20.1,88.1,Windy,Unfastened,LOW,7.4,True
EVT00079,2025-12-17 14:56:00,EXC006,Excavator,OP1045,day,normal,6.45,2.0,96.4,Windy,Fastened,HIGH,5.7,True
EVT00080,2025-12-17 15:38:00,EXC006,Excavator,OP1045,day,normal,4.85,29.3,80.9,Windy,Unfastened,LOW,6.4,True
EVT00081,2025-12-17 16:02:00,EXC006,Excavator,OP1045,day,normal,7.89,0.8,86.4,Windy,Fastened,HIGH,7.2,True
EVT00082,2025-12-17 16:30:00,EXC006,Excavator,OP1045,day,overspeed,14.78,27.2,84.8,Windy,Unfastened,LOW,7.4,True
EVT00083,2025-12-17 17:06:00,EXC006,Excavator,OP1045,day,overspeed,15.57,28.7,88.5,Windy,Unfastened,LOW,2.6,True
EVT00084,2025-12-17 17:12:00,EXC006,Excavator,OP1045,day,normal,8.74,17.7,84.7,Windy,Unfastened,LOW,4.4,True
EVT00085,2025-12-17 17:18:00,EXC006,Excavator,OP1045,day,normal,3.85,12.4,91.6,Windy,Unfastened,LOW,11.6,True
EVT00086,2025-12-17 17:58:00,EXC006,Excavator,OP1045,day,normal,6.78,14.5,88.7,Windy,Unfastened,LOW,8.9,True
EVT00087,2025-12-10 06:18:00,GRD003,Grader,OP1019,day,normal,5.24,0.5,66.1,Cloudy,Fastened,HIGH,3.1,False
EVT00088,2025-12-10 06:22:00,GRD003,Grader,OP1019,day,normal,8.16,22.1,78.0,Cloudy,Unfastened,LOW,5.3,True
EVT00089,2025-12-10 06:42:00,GRD003,Grader,OP1019,day,normal,6.25,13.7,89.7,Cloudy,Unfastened,LOW,4.4,False
EVT00090,2025-12-10 07:20:00,GRD003,Grader,OP1019,day,normal,7.37,19.3,82.7,Cloudy,Unfastened,LOW,6.7,True
EVT00091,2025-12-10 08:48:00,GRD003,Grader,OP1019,day,proximity_breach,8.0,1.4,86.3,Cloudy,Fastened,HIGH,10.1,True
EVT00092,2025-12-10 08:50:00,GRD003,Grader,OP1019,day,proximity_breach,10.1,1.4,90.7,Cloudy,Fastened,HIGH,6.7,True
EVT00093,2025-12-10 08:52:00,GRD003,Grader,OP1019,day,proximity_breach,6.91,2.0,87.0,Cloudy,Unfastened,HIGH,7.0,True
EVT00094,2025-12-10 08:54:00,GRD003,Grader,OP1019,day,proximity_breach,7.45,2.1,92.3,Cloudy,Fastened,HIGH,11.8,True
EVT00095,2025-12-10 08:56:00,GRD003,Grader,OP1019,day,proximity_breach,4.05,2.7,86.6,Cloudy,Unfastened,MEDIUM,6.0,True
EVT00096,2025-12-10 08:58:00,GRD003,Grader,OP1019,day,proximity_breach,5.75,2.9,87.3,Cloudy,Fastened,HIGH,6.5,False
EVT00097,2025-12-10 09:00:00,GRD003,Grader,OP1019,day,proximity_breach,7.09,2.1,85.8,Cloudy,Fastened,HIGH,5.0,False
EVT00098,2025-12-10 09:02:00,GRD003,Grader,OP1019,day,proximity_breach,6.87,2.6,85.3,Cloudy,Fastened,HIGH,10.0,False
EVT00099,2025-12-10 09:04:00,GRD003,Grader,OP1019,day,proximity_breach,5.55,1.9,88.1,Cloudy,Fastened,HIGH,9.3,True
EVT00100,2025-12-10 09:06:00,GRD003,Grader,OP1019,day,proximity_breach,8.26,1.0,86.0,Cloudy,Fastened,HIGH,6.4,True
EVT00101,2025-12-10 09:08:00,GRD003,Grader,OP1019,day,proximity_breach,8.8,2.6,85.8,Cloudy,Fastened,HIGH,5.8,True
EVT00102,2025-12-10 09:10:00,GRD003,Grader,OP1019,day,proximity_breach,7.36,1.2,88.0,Cloudy,Fastened,HIGH,2.5,False
EVT00103,2025-12-10 09:12:00,GRD003,Grader,OP1019,day,proximity_breach,9.22,1.3,87.2,Cloudy,Fastened,HIGH,2.5,True
EVT00104,2025-12-10 09:14:00,GRD003,Grader,OP1019,day,proximity_breach,7.35,1.3,85.1,Cloudy,Fastened,HIGH,11.2,True
EVT00105,2025-12-10 09:16:00,GRD003,Grader,OP1019,day,proximity_breach,7.1,1.7,86.0,Cloudy,Fastened,HIGH,2.3,False
EVT00106,2025-12-10 09:18:00,GRD003,Grader,OP1019,day,proximity_breach,7.53,0.3,83.9,Cloudy,Unfastened,HIGH,3.7,True
EVT00107,2025-12-10 09:20:00,GRD003,Grader,OP1019,day,proximity_breach,5.6,0.9,91.9,Cloudy,Fastened,HIGH,4.0,True
EVT00108,2025-12-10 09:22:00,GRD003,Grader,OP1019,day,proximity_breach,9.11,1.0,89.1,Cloudy,Fastened,HIGH,6.2,False
EVT00109,2025-12-10 09:24:00,GRD003,Grader,OP1019,day,proximity_breach,6.94,0.6,95.7,Cloudy,Fastened,HIGH,2.3,True
EVT00110,2025-12-10 09:34:00,GRD003,Grader,OP1019,day,normal,5.13,20.1,91.4,Cloudy,Unfastened,LOW,11.4,True
EVT00111,2025-12-10 09:36:00,GRD003,Grader,OP1019,day,normal,4.7,15.8,90.3,Cloudy,Unfastened,LOW,4.2,True
EVT00112,2025-12-10 10:20:00,GRD003,Grader,OP1019,day,normal,6.71,0.5,85.2,Cloudy,Fastened,HIGH,6.3,True
EVT00113,2025-12-10 11:22:00,GRD003,Grader,OP1019,day,normal,7.17,24.1,85.7,Cloudy,Unfastened,LOW,8.4,True
EVT00114,2025-12-10 11:42:00,GRD003,Grader,OP1019,day,normal,3.62,11.6,82.5,Cloudy,Unfastened,LOW,5.6,True
EVT00115,2025-12-10 12:02:00,GRD003,Grader,OP1019,day,normal,6.07,5.3,85.2,Cloudy,Unfastened,MEDIUM,13.8,False
EVT00116,2025-12-10 12:48:00,GRD003,Grader,OP1019,day,normal,4.36,25.6,87.3,Cloudy,Unfastened,LOW,8.8,True
EVT00117,2025-12-10 12:52:00,GRD003,Grader,OP1019,day,proximity_breach,5.9,2.2,83.7,Cloudy,Unfastened,HIGH,5.8,True
EVT00118,2025-12-10 12:54:00,GRD003,Grader,OP1019,day,proximity_breach,6.42,2.3,85.5,Cloudy,Fastened,HIGH,4.1,True
EVT00119,2025-12-10 12:56:00,GRD003,Grader,OP1019,day,proximity_breach,7.47,1.4,91.7,Cloudy,Fastened,HIGH,6.0,False
EVT00120,2025-12-10 12:58:00,GRD003,Grader,OP1019,day,proximity_breach,6.9,2.4,85.3,Cloudy,Fastened,HIGH,3.7,True
EVT00121,2025-12-10 13:00:00,GRD003,Grader,OP1019,day,proximity_breach,9.1,1.8,89.9,Cloudy,Fastened,HIGH,3.1,True
EVT00122,2025-12-10 13:04:00,GRD003,Grader,OP1019,day,proximity_breach,6.28,1.3,86.2,Cloudy,Fastened,HIGH,5.3,True
EVT00123,2025-12-10 13:06:00,GRD003,Grader,OP1019,day,proximity_breach,8.75,2.0,84.7,Cloudy,Fastened,HIGH,12.8,True
EVT00124,2025-12-10 13:08:00,GRD003,Grader,OP1019,day,proximity_breach,7.38,2.5,83.5,Cloudy,Fastened,HIGH,12.5,True
EVT00125,2025-12-10 13:10:00,GRD003,Grader,OP1019,day,proximity_breach,6.59,1.5,84.7,Cloudy,Fastened,HIGH,11.0,True
EVT00126,2025-12-10 13:12:00,GRD003,Grader,OP1019,day,proximity_breach,9.15,2.3,89.1,Cloudy,Fastened,HIGH,10.7,True
EVT00127,2025-12-10 13:14:00,GRD003,Grader,OP1019,day,proximity_breach,9.52,1.1,87.0,Cloudy,Fastened,HIGH,4.5,True
EVT00128,2025-12-10 13:16:00,GRD003,Grader,OP1019,day,proximity_breach,8.98,2.1,82.2,Cloudy,Fastened,HIGH,14.1,True
EVT00129,2025-12-10 13:18:00,GRD003,Grader,OP1019,day,proximity_breach,8.22,2.5,86.5,Cloudy,Fastened,HIGH,5.4,True
EVT00130,2025-12-10 13:22:00,GRD003,Grader,OP1019,day,proximity_breach,9.21,1.7,86.6,Cloudy,Fastened,HIGH,5.7,False
EVT00131,2025-12-10 13:30:00,GRD003,Grader,OP1019,day,normal,6.28,21.3,94.1,Cloudy,Unfastened,LOW,2.8,True
EVT00132,2025-12-10 13:40:00,GRD003,Grader,OP1019,day,normal,7.44,31.7,83.4,Cloudy,Unfastened,LOW,5.6,True
EVT00133,2025-12-10 13:52:00,GRD003,Grader,OP1019,day,normal,8.22,21.0,89.4,Cloudy,Unfastened,LOW,4.0,False
EVT00134,2025-12-10 14:18:00,GRD003,Grader,OP1019,day,normal,4.91,21.4,88.1,Cloudy,Unfastened,LOW,8.9,True
EVT00135,2025-12-10 14:32:00,GRD003,Grader,OP1019,day,normal,6.21,31.3,94.1,Cloudy,Unfastened,LOW,3.5,True
EVT00136,2025-12-10 15:22:00,GRD003,Grader,OP1019,day,normal,5.99,4.5,82.3,Cloudy,Unfastened,MEDIUM,6.0,True
EVT00137,2025-12-10 15:46:00,GRD003,Grader,OP1019,day,normal,6.06,14.6,82.3,Cloudy,Unfastened,LOW,7.5,True
EVT00138,2025-12-10 16:06:00,GRD003,Grader,OP1019,day,normal,6.4,1.4,89.4,Cloudy,Fastened,HIGH,7.1,True
EVT00139,2025-12-10 16:30:00,GRD003,Grader,OP1019,day,normal,9.63,11.7,83.9,Cloudy,Unfastened,LOW,3.1,True
EVT00140,2025-12-10 16:34:00,GRD003,Grader,OP1019,day,normal,6.52,2.1,89.3,Cloudy,Fastened,HIGH,7.7,True
EVT00141,2025-12-10 17:14:00,GRD003,Grader,OP1019,day,normal,7.63,1.9,85.6,Cloudy,Fastened,HIGH,1.6,True
EVT00142,2025-12-10 17:24:00,GRD003,Grader,OP1019,day,normal,3.79,8.7,84.7,Cloudy,Unfastened,LOW,1,True
EVT00143,2026-05-05 18:08:00,EXC005,Excavator,OP1025,night,normal,3.69,7.5,51.1,Cloudy,Unfastened,MEDIUM,6.0,False
EVT00144,2026-05-05 19:14:00,EXC005,Excavator,OP1025,night,normal,2.71,20.2,83.9,Cloudy,Unfastened,LOW,6.2,True
EVT00145,2026-05-05 20:02:00,EXC005,Excavator,OP1025,night,normal,6.22,0.5,81.1,Cloudy,Fastened,HIGH,4.2,True
EVT00146,2026-05-05 20:08:00,EXC005,Excavator,OP1025,night,normal,5.27,0.5,90.8,Cloudy,Fastened,HIGH,8.8,True
EVT00147,2026-05-05 20:48:00,EXC005,Excavator,OP1025,night,normal,4.38,18.4,91.4,Cloudy,Unfastened,LOW,2.1,True
EVT00148,2026-05-05 20:56:00,EXC005,Excavator,OP1025,night,normal,5.5,11.3,86.2,Cloudy,Unfastened,LOW,6.6,False
EVT00149,2026-05-05 21:24:00,EXC005,Excavator,OP1025,night,normal,5.6,27.1,81.6,Cloudy,Unfastened,LOW,8.1,False
EVT00150,2026-05-05 21:32:00,EXC005,Excavator,OP1025,night,erratic_accel,4.65,4.1,89.8,Cloudy,Unfastened,MEDIUM,11.2,True
EVT00151,2026-05-05 21:40:00,EXC005,Excavator,OP1025,night,erratic_accel,9.95,17.8,87.9,Cloudy,Unfastened,LOW,12.4,True
EVT00152,2026-05-05 21:46:00,EXC005,Excavator,OP1025,night,erratic_accel,6.18,7.4,84.1,Cloudy,Unfastened,MEDIUM,8.2,False
EVT00153,2026-05-05 22:06:00,EXC005,Excavator,OP1025,night,normal,4.03,12.3,89.1,Cloudy,Unfastened,LOW,5.6,True
EVT00154,2026-05-05 22:08:00,EXC005,Excavator,OP1025,night,normal,6.9,12.1,85.3,Cloudy,Unfastened,LOW,11.8,True
EVT00155,2026-05-05 22:10:00,EXC005,Excavator,OP1025,night,normal,3.97,10.5,92.7,Cloudy,Unfastened,LOW,7.5,True
EVT00156,2026-05-05 22:16:00,EXC005,Excavator,OP1025,night,normal,5.75,2.8,86.7,Cloudy,Fastened,HIGH,10.4,True
EVT00157,2026-05-05 22:38:00,EXC005,Excavator,OP1025,night,normal,5.87,22.3,88.7,Cloudy,Unfastened,LOW,1.5,True
EVT00158,2026-05-05 23:36:00,EXC005,Excavator,OP1025,night,normal,5.49,13.8,84.0,Cloudy,Unfastened,LOW,2.5,False
EVT00159,2026-05-05 23:42:00,EXC005,Excavator,OP1025,night,normal,6.87,33.5,91.6,Cloudy,Unfastened,LOW,12.6,True
EVT00160,2026-05-06 00:08:00,EXC005,Excavator,OP1025,night,normal,3.0,7.9,85.8,Cloudy,Unfastened,MEDIUM,9.4,True
EVT00161,2026-05-06 00:18:00,EXC005,Excavator,OP1025,night,normal,3.72,26.9,86.0,Cloudy,Unfastened,LOW,3.4,True
EVT00162,2026-05-06 00:28:00,EXC005,Excavator,OP1025,night,normal,7.03,15.0,83.6,Cloudy,Unfastened,LOW,2.9,True
EVT00163,2026-05-06 00:32:00,EXC005,Excavator,OP1025,night,normal,7.16,25.3,86.0,Cloudy,Unfastened,LOW,1.4,False
EVT00164,2026-05-06 00:34:00,EXC005,Excavator,OP1025,night,normal,5.03,12.7,80.2,Cloudy,Unfastened,LOW,5.4,True
EVT00165,2026-05-06 00:50:00,EXC005,Excavator,OP1025,night,normal,6.87,12.5,87.7,Cloudy,Unfastened,LOW,3.5,False
EVT00166,2026-05-06 00:54:00,EXC005,Excavator,OP1025,night,normal,6.42,14.5,85.0,Cloudy,Unfastened,LOW,5.5,False
EVT00167,2026-05-06 01:14:00,EXC005,Excavator,OP1025,night,normal,5.03,2.4,87.8,Cloudy,Fastened,HIGH,4.4,True
EVT00168,2026-05-06 01:34:00,EXC005,Excavator,OP1025,night,normal,5.03,0.5,89.2,Cloudy,Fastened,HIGH,6.3,True
EVT00169,2026-05-06 01:50:00,EXC005,Excavator,OP1025,night,proximity_breach,7.67,1.4,88.0,Cloudy,Fastened,HIGH,6.3,True
EVT00170,2026-05-06 01:52:00,EXC005,Excavator,OP1025,night,proximity_breach,8.28,1.5,84.0,Cloudy,Fastened,HIGH,6.3,True
EVT00171,2026-05-06 01:54:00,EXC005,Excavator,OP1025,night,proximity_breach,6.32,2.1,86.7,Cloudy,Fastened,HIGH,9.1,True
EVT00172,2026-05-06 01:56:00,EXC005,Excavator,OP1025,night,proximity_breach,7.34,2.3,88.4,Cloudy,Fastened,HIGH,11.4,True
EVT00173,2026-05-06 01:58:00,EXC005,Excavator,OP1025,night,proximity_breach,11.4,1.9,85.0,Cloudy,Unfastened,HIGH,8.5,True
EVT00174,2026-05-06 02:00:00,EXC005,Excavator,OP1025,night,proximity_breach,7.41,2.0,83.1,Cloudy,Fastened,HIGH,1,False
EVT00175,2026-05-06 02:02:00,EXC005,Excavator,OP1025,night,proximity_breach,6.16,0.5,86.9,Cloudy,Fastened,HIGH,1.3,True
EVT00176,2026-05-06 02:04:00,EXC005,Excavator,OP1025,night,proximity_breach,7.78,1.3,83.2,Cloudy,Fastened,HIGH,4.4,True
EVT00177,2026-05-06 02:06:00,EXC005,Excavator,OP1025,night,proximity_breach,6.54,2.1,86.3,Cloudy,Fastened,HIGH,6.0,True
EVT00178,2026-05-06 02:08:00,EXC005,Excavator,OP1025,night,proximity_breach,6.93,2.6,79.7,Cloudy,Unfastened,HIGH,11.0,True
EVT00179,2026-05-06 02:10:00,EXC005,Excavator,OP1025,night,proximity_breach,5.78,1.9,88.2,Cloudy,Fastened,HIGH,1,True
EVT00180,2026-05-06 02:12:00,EXC005,Excavator,OP1025,night,proximity_breach,7.96,2.0,87.5,Cloudy,Fastened,HIGH,2.5,True
EVT00181,2026-05-06 02:14:00,EXC005,Excavator,OP1025,night,proximity_breach,11.12,0.4,87.9,Cloudy,Fastened,HIGH,10.5,False
EVT00182,2026-05-06 02:16:00,EXC005,Excavator,OP1025,night,proximity_breach,5.88,2.2,91.9,Cloudy,Fastened,HIGH,4.4,True
EVT00183,2026-05-06 02:18:00,EXC005,Excavator,OP1025,night,proximity_breach,6.73,1.5,84.2,Cloudy,Fastened,HIGH,8.8,False
EVT00184,2026-05-06 02:22:00,EXC005,Excavator,OP1025,night,proximity_breach,6.31,1.9,87.7,Cloudy,Fastened,HIGH,3.8,False
EVT00185,2026-05-06 02:24:00,EXC005,Excavator,OP1025,night,proximity_breach,7.62,1.4,89.8,Cloudy,Fastened,HIGH,4.5,True
EVT00186,2026-05-06 02:26:00,EXC005,Excavator,OP1025,night,proximity_breach,7.25,1.2,89.5,Cloudy,Fastened,HIGH,5.2,True
EVT00187,2026-05-06 02:44:00,EXC005,Excavator,OP1025,night,normal,4.73,13.5,88.1,Cloudy,Unfastened,LOW,10.2,True
